params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_0791,2,0.75,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0792,2,0.75,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0795,2,0.75,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0796,2,0.75,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1187,2,1.0,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1188,2,1.0,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1191,2,1.0,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1192,2,1.0,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1195,2,1.0,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_1196,2,1.0,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2387,3,0.5,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2388,3,0.5,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2391,3,0.5,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2392,3,0.5,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2395,3,0.5,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2396,3,0.5,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2787,3,0.75,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2788,3,0.75,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2791,3,0.75,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2792,3,0.75,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2795,3,0.75,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_2796,3,0.75,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_3187,3,1.0,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_3188,3,1.0,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_3191,3,1.0,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
